age_gender_estimation_results
Image_name,Gender,Age,True_label-Gender
age_gender_13.jpg,M,44,M
age_gender_12.jpg,F,31,M
age_gender_10.jpg,F,47,M
age_gender_11.jpg,M,37,M
age_gender_29.jpg,M,66,M
age_gender_15.jpg,F,34,F
age_gender_14.jpg,F,28,F
age_gender_28.jpg,F,48,M
age_gender_16.jpg,F,31,M
age_gender_17.jpg,F,42,M
age_gender_1.jpg,F,50,M
age_gender_2.jpg,F,38,M
age_gender_3.jpg,F,49,M
age_gender_7.jpg,M,35,M
age_gender_6.jpg,F,34,M
age_gender_4.jpg,F,49,F
age_gender_5.jpg,F,28,F
age_gender_8.jpg,M,49,M
age_gender_9.jpg,F,46,M
age_gender_32.jpg,F,28,F
age_gender_26.jpg,M,46,M
age_gender_27.jpg,F,48,M
age_gender_33.jpg,F,48,F
age_gender_25.jpg,M,43,M
age_gender_31.jpg,F,26,F
age_gender_19.jpg,F,25,M
age_gender_18.jpg,F,51,M
age_gender_30.jpg,M,54,M
age_gender_24.jpg,F,46,M
age_gender_20.jpg,M,49,F
age_gender_21.jpg,F,48,M
age_gender_23.jpg,F,50,M
age_gender_22.jpg,M,56,M
